Date,Low,High,Close,Open
2017-11-24,47.12,48.97,48.56,47.33
2017-11-17,45.27,48.06,47.39,45.63
2017-11-10,45.36,48.1,45.82,47.46
2017-11-03,46.79,48.2,47.45,47.65
2017-10-27,47.33,53.19,47.56,51.92
2017-10-20,49.6332,52.82,51.93,52.52
2017-10-13,50.4,53.74,52.7,51.23
2017-10-06,47.22,51.67,51.3,47.52
2017-09-29,46.6301,48.6,47.49,46.98
2017-09-22,44.03,47.46,47.06,46.02
2017-09-15,44.0,47.58,46.0,44.01
2017-09-08,42.6066,45.28,43.6,44.79
2017-09-01,43.89,45.47,45.31,45.23
2017-08-25,42.67,46.09,45.25,45.73
2017-08-18,45.44,49.17,45.55,48.86
2017-08-11,47.44,51.13,48.35,50.82
2017-08-04,49.9,52.0,50.8,50.85
2017-07-28,48.73,52.03,50.49,51.79
2017-07-21,51.45,54.28,51.91,54.21
2017-07-14,51.47,54.48,54.22,52.98
2017-07-07,50.18,53.38,53.03,50.78
2017-06-30,48.5,50.51,50.32,48.81
2017-06-23,48.01,50.56,48.63,49.13
2017-06-16,48.1,50.22,48.79,50.1
2017-06-09,48.8,51.95,50.27,49.53
2017-06-02,47.53,50.47,49.52,48.32
2017-05-26,45.33,48.82,48.74,45.33
2017-05-19,44.38,47.1329,45.22,45.7
2017-05-12,44.515,47.78,45.83,44.6
2017-05-05,42.01,44.52,44.51,42.76
2017-04-28,42.41,47.39,42.62,45.5
2017-04-21,43.36,45.5,45.15,43.47
2017-04-13,41.62,45.35,43.35,41.81
2017-04-07,40.82,42.57,41.81,42.33
2017-03-31,40.56,42.94,42.3,41.07
2017-03-24,39.21,42.415,41.73,42.18
2017-03-17,40.2099,44.12,41.72,43.73
2017-03-10,42.97,46.68,43.9,46.41
2017-03-03,45.64,48.135,46.82,46.18
2017-02-24,45.58,47.32,46.28,47.01
2017-02-17,46.43,48.05,46.91,46.56
2017-02-10,44.51,46.7,46.45,44.8
2017-02-03,43.57,45.92,44.2,45.62
2017-01-27,46.72,50.0,46.95,47.9
2017-01-20,46.65,48.16,48.0,47.56
2017-01-13,45.78,49.9,47.65,46.01
2017-01-06,45.47,47.435,46.21,47.28
